135,1098,191,1103,188,1131,133,1126
201,1097,308,1107,305,1136,198,1127
664,1109,685,1109,685,1133,664,1133
694,1106,730,1106,730,1136,694,1136
66,1130,120,1130,120,1160,66,1160
117,1130,186,1130,186,1160,117,1160
198,1133,237,1133,237,1160,198,1160
661,1139,688,1139,688,1169,661,1169
694,1139,730,1139,730,1169,694,1169
66,1181,144,1181,144,1214,66,1214
411,1187,450,1187,450,1217,411,1217
511,1187,562,1187,562,1220,511,1220
568,1187,610,1187,610,1223,568,1223
66,1217,114,1217,114,1250,66,1250
568,1220,610,1220,610,1256,568,1256
411,1223,453,1223,453,1256,411,1256
511,1223,559,1223,559,1256,511,1256
66,1253,207,1253,207,1289,66,1289
411,1256,453,1256,453,1292,411,1292
529,1259,559,1259,559,1289,529,1289
568,1259,610,1259,610,1292,568,1292
63,1337,135,1337,135,1370,63,1370
147,1340,246,1340,246,1370,147,1370
264,1346,282,1346,282,1373,264,1373
63,1371,118,1377,115,1408,60,1403
129,1372,217,1377,216,1405,127,1400
264,1373,291,1373,291,1403,264,1403
297,1379,315,1379,315,1403,297,1403
60,1436,165,1436,165,1467,60,1467
177,1436,261,1436,261,1467,177,1467
276,1436,447,1436,447,1470,276,1470
459,1439,511,1439,511,1470,459,1470
511,1439,592,1439,592,1470,511,1470
607,1439,646,1439,646,1470,607,1470
63,1485,150,1485,150,1515,63,1515
162,1483,225,1489,222,1520,159,1514
244,1483,351,1494,347,1527,241,1515
493,1491,538,1491,538,1518,493,1518
441,1494,496,1494,496,1524,441,1524
363,1500,432,1500,432,1521,363,1521
60,1518,150,1518,150,1548,60,1548
159,1518,234,1518,234,1548,159,1548
376,1518,553,1521,553,1554,375,1551
556,1521,727,1521,727,1554,556,1554
246,1530,300,1530,300,1551,246,1551
309,1527,363,1527,363,1554,309,1554
63,1551,132,1551,132,1581,63,1581
144,1551,198,1551,198,1581,144,1581
210,1551,264,1551,264,1581,210,1581
279,1551,348,1551,348,1584,279,1584
360,1554,426,1554,426,1584,360,1584
441,1554,511,1554,511,1584,441,1584
61,1587,129,1583,130,1614,63,1618
144,1584,198,1584,198,1614,144,1614
210,1584,264,1584,264,1614,210,1614
279,1584,345,1584,345,1617,279,1617
360,1587,429,1587,429,1617,360,1617
441,1587,511,1587,511,1617,441,1617
60,1617,129,1617,129,1647,60,1647
144,1617,198,1617,198,1647,144,1647
210,1617,312,1617,312,1647,210,1647
324,1617,378,1617,378,1650,324,1650
523,1617,592,1617,592,1647,523,1647
393,1620,444,1620,444,1650,393,1650
459,1620,511,1620,511,1650,459,1650
60,1665,114,1665,114,1698,60,1698
126,1664,247,1671,246,1702,124,1695
291,1667,394,1671,393,1702,290,1698
396,1668,456,1668,456,1701,396,1701
508,1668,559,1668,559,1698,508,1698
559,1668,619,1668,619,1698,559,1698
111,1734,129,1734,129,1758,111,1758
141,1731,180,1731,180,1761,141,1761
586,1731,625,1731,625,1761,586,1761
60,1734,99,1734,99,1764,60,1764
372,1734,420,1734,420,1764,372,1764
423,1734,459,1734,459,1764,423,1764
559,1737,577,1737,577,1764,559,1764
60,1761,195,1761,195,1794,60,1794
387,1764,417,1764,417,1794,387,1794
553,1764,583,1764,583,1794,553,1794
586,1764,622,1764,622,1794,586,1794
420,1767,459,1767,459,1794,420,1794
